title,lifetime_gross,year
Star Trek,257730019,2009
I Am Legend,256393010,2007
The Blind Side,255959475,2009
The Hobbit: The Battle of the Five Armies,255119788,2014
The Hangover Part II,254464305,2011
Despicable Me,251513985,2010
Batman,251188924,1989
Night at the Museum,250863268,2006
Men in Black,250690539,1997
Harry Potter and the Prisoner of Azkaban,249541069,2004
Moana,248757044,2016
Raiders of the Lost Ark,248159971,1981
Toy Story 2,245852179,1999
Transformers: Age of Extinction,245439076,2014
Cars,244082982,2006
Bruce Almighty,242829261,2003
Ghostbusters,242212467,1984
Twister,241721524,1996
My Big Fat Greek Wedding,241438208,2002
Maleficent,241410378,2014
Pirates of the Caribbean: On Stranger Tides,241071802,2011
Shrek Forever After,238736787,2010
Fast & Furious 6,238679850,2013
Brave,237283207,2012
Oz The Great and Powerful,234911825,2013
Beverly Hills Cop,234760478,1984
X-Men: The Last Stand,234362462,2006
War of the Worlds,234280354,2005
Fantastic Beasts and Where To Find Them,234037575,2016
X-Men: Days of Future Past,233921534,2014
Cast Away,233632142,2000
The Exorcist,232906145,1973
Doctor Strange,232641920,2016
The Lost World: Jurassic Park,229086679,1997
Justice League,229024295,2017
Star Trek Into Darkness,228778661,2013
The Martian,228433663,2015
Signs,227966634,2002
Hancock,227946274,2008
The Bourne Ultimatum,227471070,2007
Logan,226277068,2017
Rush Hour 2,226164286,2001
The Fate of the Furious,226008385,2017
WALL-E,223808164,2008
Big Hero 6,222527828,2014
National Treasure: Book of Secrets,219964115,2007
Alvin and the Chipmunks: The Squeakquel,219614612,2009
Mrs. Doubtfire,219195243,1993
Beauty and the Beast,218967620,1991
Ted,218815487,2012
King Kong,218080025,2005
Ghost,217631306,1990
How to Train Your Dragon,217581231,2010
The Da Vinci Code,217536138,2006
Aladdin,217350219,1992
Alvin and the Chipmunks,217326974,2007
Saving Private Ryan,216540909,1998
Madagascar 3: Europe's Most Wanted,216391482,2012
Kung Fu Panda,215434591,2008
Mission: Impossible II,215409889,2000
X2: X-Men United,214949694,2003
Dr. Seuss' The Lorax,214030500,2012
Solo: A Star Wars Story,213588649,2018
Austin Powers in Goldmember,213307889,2002
Ant-Man and the Wasp,211470699,2018
300,210614939,2007
Back to the Future,210609762,1985
Fast Five,209837675,2011
Coco,209726015,2017
Mission: Impossible - Ghost Protocol,209397903,2011
Wedding Crashers,209255921,2005
Sherlock Holmes,209028679,2009
Dawn of the Planet of the Apes,208545589,2014
Batman Begins,206852432,2005
Charlie and the Chocolate Factory,206459076,2005
Ratatouille,206445654,2007
Thor: The Dark World,206362140,2013
Austin Powers: The Spy Who Shagged Me,206040086,1999
Terminator 2: Judgment Day,205881154,1991
The Amazing Spider-Man 2,202853933,2014
World War Z,202359711,2013
The Mummy Returns,202019785,2001
Armageddon,201578182,1998
Cinderella (2015),201151353,2015
Tangled,200821936,2010
Godzilla (2014),200676069,2014
Superman Returns,200081192,2006
Spectre,200074609,2015
Gone with the Wind,198676459,1939
Pearl Harbor,198542554,2001
Monsters Vs. Aliens,198351526,2009
Happy Feet,198000317,2006
Indiana Jones and the Last Crusade,197171806,1989
Ice Age: Dawn of the Dinosaurs,196573705,2009
Ice Age: The Meltdown,195330621,2006
Mission: Impossible - Rogue Nation,195042377,2015
Mission: Impossible - Fallout,193900660,2018
Madagascar,193595521,2005
Twilight,192769854,2008
Toy Story,191796233,1995
22 Jump Street,191719337,2014
Cars 2,191452396,2011
Teenage Mutant Ninja Turtles (2014),191204754,2014
Men in Black II,190418803,2002
Dunkirk,190068280,2017
Wreck-It Ralph,189422889,2012
Grease,188755690,1978
A Quiet Place,188024361,2018
Interstellar,188020017,2014
Gladiator,187705427,2000
The Croods,187168425,2013
Sherlock Holmes: A Game of Shadows,186848418,2011
The Day After Tomorrow,186740799,2004
The Polar Express,186493472,2004
Mr. & Mrs. Smith,186336279,2005
Snow White and the Seven Dwarfs,184925486,1937
Pitch Perfect 2,184296230,2015
Dances with Wolves,184208848,1990
Batman Forever,184031112,1995
The Fugitive,183875760,1993
The Revenant,183637894,2015
Ocean's Eleven,183417150,2001
The Simpsons Movie,183135014,2007
What Women Want,182811707,2000
The Perfect Storm,182618434,2000
Lincoln,182207973,2012
Liar Liar,181410615,1997
Jurassic Park III,181171875,2001
Thor,181030624,2011
Mission: Impossible,180981856,1996
Ant-Man,180202163,2015
Planet of the Apes (2001),180011740,2001
Madagascar: Escape 2 Africa,180010950,2008
X-Men Origins: Wolverine,179883157,2009
Indiana Jones and the Temple of Doom,179870271,1984
Top Gun,179800601,1986
Hitch,179495555,2005
MIB 3,179020854,2012
Pretty Woman,178406268,1990
Home (2015),177397510,2015
Night at the Museum: Battle of the Smithsonian,177243721,2009
Tootsie,177200000,1982
How to Train Your Dragon 2,177002924,2014
Rise of the Planet of the Apes,176760185,2011
Captain America: The First Avenger,176654505,2011
The Karate Kid,176591618,2010
There's Something About Mary,176484651,1998
Ice Age,176387405,2002
The Bourne Supremacy,176241941,2004
Get Out,176040665,2017
The LEGO Batman Movie,175750384,2017
The Boss Baby,175003033,2017
Crocodile Dundee,174803506,1986
The Greatest Showman,174340174,2017
Apollo 13,173837933,1995
Home Alone 2: Lost in New York,173585516,1992
Elf,173398518,2003
National Treasure,173008894,2004
Air Force One,172956409,1997
Rain Man,172825435,1988
Pirates of the Caribbean: Dead Men Tell No Tales,172558876,2017
Tron Legacy,172062763,2010
The Matrix,171479930,1999
True Grit,171243005,2010
Tarzan,171091819,1999
A Beautiful Mind,170742341,2001
Chicago,170687518,2002
The Help,169708112,2011
Hotel Transylvania 2,169700110,2015
Hidden Figures,169607287,2016
Bridesmaids,169106725,2011
Quantum of Solace,168368427,2008
Wild Hogs,168273550,2007
Kong: Skull Island,168052812,2017
Three Men and a Baby,167780960,1987
Gone Girl,167767189,2014
Casino Royale,167445960,2006
Meet the Parents,166244045,2000
Fifty Shades of Grey,166167230,2015
2012,166112167,2009
Robin Hood: Prince of Thieves,165493908,1991
Kung Fu Panda 2,165249063,2011
Hannibal,165092268,2001
Catch Me If You Can,164615351,2002
The Proposal,163958031,2009
The Pursuit of Happyness,163566459,2006
Big Daddy,163479795,1999
Clash of the Titans (2010),163214888,2010
The SpongeBob Movie: Sponge Out of Water,162994032,2015
Batman Returns,162831698,1992
Django Unchained,162805434,2012
A Bug's Life,162798565,1998
Jason Bourne,162434410,2016
Grown Ups,162001186,2010
The Waterboy,161491646,1998
Ice Age: Continental Drift,161321843,2012
Straight Outta Compton,161197785,2015
Die Another Day,160942139,2002
Shark Tale,160861908,2004
The Heat,159582188,2013
Star Trek Beyond,158848340,2016
The Sound of Music,158671368,1965
Hotel Transylvania 3: Summer Vacation,158617389,2018
The Firm,158348367,1993
The Longest Yard,158119460,2005
X-Men,157299717,2000
Scary Movie,157019771,2000
Fatal Attraction,156645693,1987
Who Framed Roger Rabbit,156452370,1988
The Sting,156000000,1973
What Lies Beneath,155464351,2000
X-Men: Apocalypse,155442489,2016
The Mummy,155385488,1999
Snow White and the Huntsman,155332381,2012
San Andreas,155190832,2015
Fast and Furious,155064265,2009
Over the Hedge,155019340,2006
Fantastic Four (2005),154696080,2005
Dr. Seuss' Horton Hears a Who!,154529439,2008
Mad Max: Fury Road,154058340,2015
Jerry Maguire,153952592,1996
Trolls,153707064,2016
Beverly Hills Cop II,153665036,1987
Scooby-Doo,153294164,2002
Gremlins,153083102,1984
Cars 3,152901115,2017
Sex and the City,152647258,2008
Runaway Bride,152257509,1999
La La Land,151101803,2016
Divergent,150947895,2014
Rambo: First Blood Part II,150415432,1985
We're the Millers,150394119,2013
Terminator 3: Rise of the Machines,150371112,2003
Daddy's Home,150357137,2015
G.I. Joe: The Rise of Cobra,150201498,2009
Neighbors,150157400,2014
American Hustle,150117807,2013
Puss in Boots,149260504,2011
Les Miserables (2012),148809770,2012
Knocked Up,148768917,2007
As Good as It Gets,148478011,1997
Little Fockers,148438600,2010
Megamind,148415853,2010
Hotel Transylvania,148313048,2012
Talladega Nights: The Ballad of Ricky Bobby,148213377,2006
Gran Torino,148095302,2008
Lethal Weapon 2,147253986,1989
War for the Planet of the Apes,146880162,2017
X-Men: First Class,146408305,2011
Paul Blart: Mall Cop,146336178,2009
True Lies,146282411,1994
Lilo & Stitch,145794338,2002
American Pie 2,145103595,2001
Taken,145000989,2009
101 Dalmatians,144880014,1961
The Great Gatsby (2013),144840419,2013
The Santa Clause,144833357,1994
"I, Robot",144801023,2004
Lethal Weapon 3,144731527,1992
The Fast and the Furious,144533925,2001
Doctor Dolittle,144156605,1998
Mamma Mia!,144130063,2008
Rio,143619809,2011
Kung Fu Panda 3,143528619,2016
Juno,143495265,2007
Marley and Me,143153751,2008
The Smurfs,142614158,2011
XXX,142109382,2002
The Jungle Book,141843612,1967
The Chronicles of Narnia: Prince Caspian,141621490,2008
National Lampoon's Animal House,141600000,1978
Pocahontas,141579773,1995
A Few Good Men,141340178,1992
Slumdog Millionaire,141319928,2008
Rush Hour,141186864,1998
The Blair Witch Project,140539099,1999
Deep Impact,140464664,1998
Rush Hour 3,140125968,2007
Look Who's Talking,140088813,1989
Stuart Little,140035367,1999
Taken 2,139854287,2012
Sister Act,139605150,1992
The Matrix Revolutions,139313948,2003
The Santa Clause 2,139236327,2002
Ocean's 8,138876427,2018
The King's Speech,138797449,2010
Cheaper by the Dozen,138614544,2003
Bad Boys II,138608444,2003
Platoon,138530565,1986
21 Jump Street,138447667,2012
Good Will Hunting,138433435,1997
Split,138291365,2017
A Christmas Carol (2009),137855863,2009
Dinosaur,137748063,2000
The Conjuring,137400141,2013
Click,137355633,2006
Ready Player One,137018455,2018
The Green Mile,136801374,1999
Ransom,136492681,1996
Godzilla,136314294,1998
101 Dalmatians (1996),136189294,1996
Argo,136025503,2012
Anger Management,135645823,2003
Chicken Little,135386665,2005
Teenage Mutant Ninja Turtles,135265915,1990
Close Encounters of the Third Kind,135189114,1977
Patch Adams,135026902,1998
The Godfather,134966411,1972
Ride Along,134938200,2014
The Incredible Hulk,134806913,2008
Live Free or Die Hard,134529403,2007
Wanted,134508551,2008
Identity Thief,134506920,2013
Superman,134218018,1978
The Rock,134069511,1996
Mission: Impossible III,134029801,2006
Grown Ups 2,133668525,2013
Troy,133378256,2004
Angels & Demons,133375846,2009
Alvin and the Chipmunks: Chipwrecked,133110742,2011
Bringing Down the House,132716677,2003
The Wolverine,132556852,2013
Wonder,132422809,2017
The Departed,132384315,2006
Hulk,132177234,2003
Silver Linings Playbook,132092958,2012
Minority Report,132072926,2002
Fantastic Four: Rise of the Silver Surfer,131921738,2007
The Last Airbender,131772187,2010
Rio 2,131538435,2014
Lara Croft: Tomb Raider,131168070,2001
The Silence of the Lambs,130742922,1991
"Honey, I Shrunk the Kids",130724172,1989
The Flintstones,130531208,1994
Lethal Weapon 4,130444603,1998
Get Smart,130319208,2008
The Divergent Series: Insurgent,130179072,2015
The Peanuts Movie,130178411,2015
Transformers: The Last Knight,130168683,2017
American Gangster,130164645,2007
American Beauty,130096601,1999
An Officer and a Gentleman,129795554,1982
The Ring,129128133,2002
The Nutty Professor (1996),128814019,1996
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,128505958,2006
Ghostbusters (2016),128350574,2016
Kingsman: The Secret Service,128261724,2015
Robots,128200012,2005
Coming to America,128152301,1988
"Crouching Tiger, Hidden Dragon",128078872,2000
Shutter Island,128012934,2010
Into the Woods,128002372,2014
Rocky IV,127873716,1985
Enchanted,127807262,2007
The Curious Case of Benjamin Button,127509326,2008
Central Intelligence,127440871,2016
Anchorman 2: The Legend Continues,127352707,2013
Sweet Home Alabama,127223418,2002
Dumb and Dumber,127175374,1994
2 Fast 2 Furious,127154901,2003
My Best Friend's Wedding,127120029,1997
Super 8,127004179,2011
The World Is Not Enough,126943684,1999
Smokey and the Bandit,126737428,1977
Sleepless in Seattle,126680884,1993
Lucy,126663600,2014
The Legend of Tarzan,126643061,2016
Bee Movie,126631277,2007
Prometheus,126477084,2012
Safe House,126373434,2012
Mr. Deeds,126293452,2002
The Truman Show,125618201,1998
Erin Brockovich,125595205,2000
Ocean's Twelve,125544280,2004
Terminator Salvation,125322469,2009
Charlie's Angels,125305545,2000
Tomorrow Never Dies,125304276,1997
Lone Survivor,125095601,2013
Sully,125070033,2016
Rocky III,125049125,1982
The Vow,125014030,2012
Life of Pi,124987023,2012
The Fault in our Stars,124872350,2014
Cloudy with a Chance of Meatballs,124870275,2009
The Devil Wears Prada,124740460,2006
Something's Gotta Give,124728738,2003
Traffic,124115725,2000
The Birdcage,124060553,1996
City Slickers,124033791,1991
"Good Morning, Vietnam ",123922370,1987
Rango,123477607,2011
The Nutty Professor II: The Klumps,123309890,2000
The Good Dinosaur,123087120,2015
G.I. Joe: Retaliation,122523060,2013
Clear and Present Danger,122187717,1994
The Hunt for Red October,122012643,1990
The Bodyguard,122006740,1992
Wayne's World,121697323,1992
The Bourne Identity,121661683,2002
Superbad,121463226,2007
Speed,121248145,1994
50 First Dates,120908074,2004
Mulan,120620254,1998
Inglourious Basterds,120540719,2009
Seabiscuit,120277854,2003
Van Helsing,120177084,2004
Four Christmases,120146040,2008
I Now Pronounce You Chuck and Larry,120059556,2007
The Mask,119938730,1994
Cloudy with a Chance of Meatballs 2,119793567,2013
Hook,119654823,1991
Blazing Saddles,119601481,1974
Walk the Line,119519402,2005
G-Force,119436770,2009
Total Recall,119412921,1990
On Golden Pond,119285432,1981
The Other Guys,119219978,2010
Fahrenheit 9/11,119194771,2004
The Sum of All Fears,118907036,2002
Hairspray (2007),118871849,2007
The Break-Up,118703275,2006
Lemony Snicket's A Series of Unfortunate Events,118634549,2004
Blades of Glory,118594548,2007
Back to the Future Part II,118450002,1989
Salt,118311368,2010
Basic Instinct,117727224,1992
Now You See Me,117723989,2013
Big Momma's House,117559438,2000
Die Hard 2: Die Harder,117540947,1990
Horrible Bosses,117538559,2011
Rocky,117235147,1976
Jackass 3-D,117229692,2010
Ocean's Thirteen,117154724,2007
S.W.A.T.,116934650,2003
The Wolf of Wall Street,116900694,2013
8 Mile,116750901,2002
Double Jeopardy,116741558,1999
Lee Daniels' The Butler,116632095,2013
Green Lantern,116601172,2011
Notting Hill,116089678,1999
The Towering Inferno,116000000,1974
You've Got Mail,115821495,1998
Ghost Rider,115802596,2007
Remember the Titans,115654751,2000
District 9,115646235,2009
Unbroken,115637895,2014
Mamma Mia! Here We Go Again,115267110,2018
Peter Rabbit,115253424,2018
Girls Trip,115171585,2017
The Karate Kid Part II,115103979,1986
American Graffiti,115000000,1973
Big,114968774,1988
Fifty Shades Darker,114581250,2017
DodgeBall: A True Underdog Story,114326736,2004
The Village,114197520,2004
Bolt,114053579,2008
Wild Wild West,113804681,1999
Night at the Museum: Secret of the Tomb,113746621,2014
Magic Mike,113721571,2012
The Addams Family,113502426,1991
The Patriot,113330342,2000
Bad Moms,113257297,2016
The Bourne Legacy,113203870,2012
The Pacifier,113086868,2005
Dr. Dolittle 2,112952899,2001
The Rocky Horror Picture Show,112892319,1975
It's Complicated,112735375,2009
Spy Kids,112719001,2001
Ghostbusters II,112494738,1989
Face/Off,112276146,1997
The Hangover Part III,112200072,2013
Twins,111938388,1988
Spy Kids 3D: Game Over,111761982,2003
Doctor Zhivago,111721910,1965
Enemy of the State,111549836,1998
The Little Mermaid,111543479,1989
Mr. Peabody & Sherman,111506430,2014
Porky's,111289673,1982
The Last Samurai,111127263,2003
Spy,110825712,2015
Tropic Thunder,110515313,2008
Valentine's Day,110485654,2010
The Grudge,110359362,2004
Fun with Dick and Jane,110332737,2005
Freaky Friday,110230332,2003
Trainwreck,110212700,2015
Bedtime Stories,110101975,2008
Scary Movie 3,110003217,2003
Creed,109767581,2015
Star Trek IV: The Voyage Home,109713132,1986
The 40-Year-Old Virgin,109449237,2005
Crocodile Dundee II,109306210,1988
Couples Retreat,109204945,2009
One Flew Over the Cuckoo's Nest,108981275,1975
A Time to Kill,108766007,1996
Black Hawk Down,108638745,2001
Terms of Endearment,108423489,1983
Ace Ventura: When Nature Calls,108385533,1995
The Princess Diaries,108248956,2001
Superman II,108185706,1981
Hop,108085305,2011
Pulp Fiction,107928762,1994
Paranormal Activity,107918810,2009
Baby Driver,107825862,2017
A League of Their Own,107533928,1992
Epic,107518682,2013
Watchmen,107509799,2009
The Angry Birds Movie,107509366,2016
Batman and Robin,107325195,1997
Captain Phillips,107100855,2013
Black Swan,106954678,2010
Analyze This,106885658,1999
Chicken Run,106834564,2000
Miss Congeniality,106807667,2000
Indecent Proposal,106614059,1993
Driving Miss Daisy,106593296,1989
300: Rise of An Empire,106580051,2014
GoldenEye,106429941,1995
Love Story,106397186,1970
Kramer Vs. Kramer,106260000,1979
The Italian Job,106128601,2003
How to Lose a Guy in 10 Days,105813373,2003
The First Wives Club,105489203,1996
The Meg,105300646,2018
Robin Hood,105269730,2010
Interview with the Vampire,105264608,1994
George of the Jungle,105263257,1997
The Graduate,104945305,1967
Pitch Perfect 3,104897530,2017
Phenomenon,104636382,1996
American Wedding,104565114,2003
Road to Perdition,104454762,2002
The Princess and the Frog,104400899,2009
The Chronicles of Narnia: The Voyage of the Dawn Treader,104386950,2010
Daddy Day Care,104297061,2003
Daddy's Home 2,104029443,2017
Paranormal Activity 3,104028807,2011
Journey 2: The Mysterious Island,103860290,2012
Dick Tracy,103738726,1990
Rise of the Guardians,103412758,2012
Dreamgirls,103365956,2006
9 to 5,103290500,1980
Independence Day: Resurgence,103144286,2016
The Expendables,103068524,2010
Scream,103046663,1996
Just Go With It,103028109,2011
Murder on the Orient Express (2017),102826543,2017
The General's Daughter,102705852,1999
The Aviator,102610330,2004
American Pie,102561004,1999
Daredevil,102543518,2003
The Girl with the Dragon Tattoo (2011),102515793,2011
The Mummy: Tomb of the Dragon Emperor,102491776,2008
The Conjuring 2,102470008,2016
The Maze Runner,102427862,2014
In the Line of Fire,102314823,1993
Butch Cassidy and the Sundance Kid,102308889,1969
Mary Poppins,102272727,1964
Bambi,102247150,1942
Annabelle: Creation,102092201,2017
Jackass Presents: Bad Grandpa,102003019,2013
Pacific Rim,101802906,2013
Journey to the Center of the Earth,101704370,2008
Gone in 60 Seconds,101648571,2000
Maverick,101631272,1994
Sleeping with the Enemy,101599005,1991
The Equalizer,101530738,2014
This is the End,101470202,2013
Eagle Eye,101440743,2008
The Prince of Egypt,101413188,1998
Scream 2,101363301,1997
Stir Crazy,101300000,1980
Eraser,101295562,1996
Noah,101200044,2014
Unforgiven,101157447,1992
The Cat in the Hat,101149285,2003
Con Air,101117573,1997
Sleepy Hollow,101071502,1999
Collateral,101005703,2004
Contact,100920329,1997
Charlie's Angels: Full Throttle,100830111,2003
The Pelican Brief,100768056,1993
Vanilla Sky,100618344,2001
Arrival,100546139,2016
Due Date,100539043,2010
The Rugrats Movie,100494675,1998
Million Dollar Baby,100492203,2004
Airport,100489151,1970
A Wrinkle in Time,100478608,2018
Jumanji,100475249,1995
Step Brothers,100468793,2008
Evan Almighty,100462298,2007
Fifty Shades Freed,100407760,2018
Casper,100328194,1995
Shakespeare in Love,100317794,1998
Bad Teacher,100292856,2011
Yogi Bear,100246011,2010
Cowboys & Aliens,100240551,2011
Kingsman: The Golden Circle,100234838,2017
Edge of Tomorrow,100206256,2014
The Hunchback of Notre Dame,100138851,1996
Seven,100125643,1995
Parenthood,100047830,1989
You Don't Mess with the Zohan,100018837,2008
Passengers (2016),100014699,2016
Die Hard: With A Vengeance,100012499,1995
Gnomeo and Juliet,99967670,2011
Rampage (2018),99345950,2018
Hercules,99112101,1997
Olympus Has Fallen,98925640,2013
The Green Hornet,98780042,2011
Date Night,98711404,2010
The Color Purple,98467863,1985
The Equalizer 2,98025332,2018
Meet the Robinsons,97822171,2007
Yes Man,97690976,2008
Sausage Party,97685686,2016
Inspector Gadget,97403112,1999
Public Enemies,97104620,2009
The Social Network,96962694,2010
The Others,96522687,2001
Legally Blonde,96520674,2001
Panic Room,96397334,2002
Schindler's List,96065768,1993
Dead Poets Society,95860116,1989
Zero Dark Thirty,95720716,2012
Norbit,95673607,2007
Cold Mountain,95636509,2003
Arthur,95461682,1981
Sex and the City 2,95347692,2010
Michael,95318203,1996
The Princess Diaries 2: Royal Engagement,95170481,2004
42,95020213,2013
Unbreakable,95011339,2000
The Book of Eli,94835059,2010
"10,000 B.C.",94784201,2008
Beverly Hills Chihuahua,94514402,2008
Saturday Night Fever,94213184,1977
Julie & Julia,94125426,2009
The Mask of Zorro,94095523,1998
Maid in Manhattan,94011225,2002
He's Just Not That Into You,93953653,2009
Master and Commander: The Far Side of the World,93927920,2003
Flight,93772375,2012
The Fighter,93617009,2010
America's Sweethearts,93607673,2001
Lady and the Tramp,93602326,1955
The Bucket List,93466502,2007
Tomorrowland,93436322,2015
The Magnificent Seven (2016),93432655,2016
Cats & Dogs,93385515,2001
Two Weeks Notice,93354851,2002
Space Station 3-D (IMAX),93341996,2002
Red Dragon,93149898,2002
Cinderella (1950),93141149,1950
Elysium,93050117,2013
Flubber,92977226,1997
Flashdance,92921203,1983
When Harry Met Sally...,92823546,1989
The Town,92186262,2010
Non-Stop,92168600,2014
The Client,92115211,1994
Blade Runner 2049,92054159,2017
John Wick: Chapter Two,92029184,2017
Star Trek: First Contact,92027888,1996
Think Like a Man,91547205,2012
Kindergarten Cop,91457688,1990
Heaven is for Real,91443253,2014
The Haunting,91411151,1999
Crimson Tide,91387195,1995
Back to School,91258000,1986
Ride Along 2,91221830,2016
Stepmom,91137662,1998
The Imitation Game,91125683,2014
Save the Last Dance,91057006,2001
The Scorpion King,91047077,2002
The Karate Kid,90815558,1984
Prince of Persia: The Sands of Time,90759676,2010
Antz,90757863,1998
Scary Movie 4,90710620,2006
The Game Plan,90648202,2007
"Me, Myself and Irene",90570999,2000
High School Musical 3: Senior Year,90559416,2008
Tyler Perry's Madea Goes to Jail,90508336,2009
Space Cowboys,90464773,2000
Space Jam,90418342,1996
Get Hard,90411453,2015
Trading Places,90404800,1983
Red,90380162,2010
Planes,90288712,2013
"Legally Blonde 2: Red, White and Blonde",90186328,2003
Mystic River,90135191,2003
Terminator: Genisys,89760956,2015
Flightplan,89707299,2005
Father of the Bride,89325780,1991
The Emperor's New Groove,89302687,2000
The Lone Ranger,89302115,2013
Taken 3,89256424,2015
Don't Breathe,89217875,2016
Scream 3,89143175,2000
Oblivion,89107235,2013
The Ugly Truth,88915214,2009
Percy Jackson & The Olympians: The Lightning Thief,88768303,2010
Failure to Launch,88715192,2006
The Muppets,88631237,2011
Inside Man,88513495,2006
Waterworld,88246220,1995
Starsky and Hutch,88237754,2004
Along Came Polly,88097164,2004
The Hand That Rocks the Cradle,88036683,1992
Back to the Future Part III,87727583,1990
Entrapment,87704396,1999
Peter Pan,87404651,1953
Pineapple Express,87341380,2008
Miss Peregrine's Home for Peculiar Children,87242834,2016
Everest (IMAX),87178599,1998
Out of Africa,87071205,1985
Sisters,87044645,2015
Saw II,87039965,2005
The Naked Gun 2 1/2: The Smell of Fear,86930411,1991
The Campaign,86907746,2012
The War of the Roses,86888546,1989
The Amityville Horror,86432000,1979
Presumed Innocent,86303188,1990
Young Frankenstein,86273333,1974
The Accountant,86260045,2016
Dumb and Dumber To,86208010,2014
The Emoji Movie,86089513,2017
Mean Girls,86058055,2004
Annie (2014),85911262,2014
Alvin and the Chipmunks: The Road Chip,85886987,2015
Spy Kids 2: The Island of Lost Dreams,85846429,2002
Fury (2014),85817906,2014
Pokemon: The First Movie,85744662,1999
Real Steel,85468508,2011
The SpongeBob SquarePants Movie,85417988,2004
Power Rangers (2017),85364450,2017
Brother Bear,85336277,2003
Stripes,85297000,1981
Anchorman: The Legend of Ron Burgundy,85288303,2004
Every Which Way But Loose,85196485,1978
Rocky II,85182160,1979
